day,date,negative,new_diagnoses,new_deaths,new_tests,test_yield
0,2020-01-27,5.0,0.0,0.0,5.0,0.0
1,2020-01-28,1.0,0.0,0.0,1.0,0.0
2,2020-01-29,2.0,0.0,0.0,2.0,0.0
3,2020-01-30,0.0,0.0,0.0,0.0,0.0
4,2020-01-31,2.0,0.0,0.0,2.0,0.0
5,2020-02-01,0.0,0.0,0.0,0.0,0.0
6,2020-02-02,1.0,0.0,0.0,1.0,0.0
7,2020-02-03,0.0,0.0,0.0,0.0,0.0
8,2020-02-04,1.0,0.0,0.0,1.0,0.0
9,2020-02-05,1.0,0.0,0.0,1.0,0.0
10,2020-02-06,0.0,0.0,0.0,0.0,0.0
11,2020-02-07,0.0,0.0,0.0,0.0,0.0
12,2020-02-08,0.0,0.0,0.0,0.0,0.0
13,2020-02-09,0.0,0.0,0.0,0.0,0.0
14,2020-02-10,0.0,0.0,0.0,0.0,0.0
15,2020-02-11,0.0,0.0,0.0,0.0,0.0
16,2020-02-12,0.0,0.0,0.0,0.0,0.0
17,2020-02-13,0.0,0.0,0.0,0.0,0.0
18,2020-02-14,0.0,0.0,0.0,0.0,0.0
19,2020-02-15,0.0,0.0,0.0,0.0,0.0
20,2020-02-16,0.0,0.0,0.0,0.0,0.0
21,2020-02-17,0.0,0.0,0.0,0.0,0.0
22,2020-02-18,0.0,0.0,0.0,0.0,0.0
23,2020-02-19,0.0,0.0,0.0,0.0,0.0
24,2020-02-20,1.0,0.0,0.0,1.0,0.0
25,2020-02-21,0.0,1.0,0.0,1.0,1.0
26,2020-02-22,0.0,1.0,0.0,1.0,1.0
27,2020-02-23,0.0,1.0,0.0,1.0,1.0
28,2020-02-24,1.0,1.0,0.0,2.0,0.5
29,2020-02-25,0.0,1.0,0.0,1.0,1.0
30,2020-02-26,1.0,2.0,2.0,3.0,0.6666666666666666
31,2020-02-27,1.0,3.0,0.0,4.0,0.75
32,2020-02-28,1.0,9.0,2.0,10.0,0.9
